R00867	fig|31899.10.peg.2673	00051_Fructoseandmannosemetabolism.rxns
R00868	fig|31899.10.peg.968	00051_Fructoseandmannosemetabolism.rxns
R00878	fig|31899.10.peg.1037	00051_Fructoseandmannosemetabolism.rxns
R00883	fig|31899.10.peg.632	00051_Fructoseandmannosemetabolism.rxns
R00885	fig|31899.10.peg.1964	00051_Fructoseandmannosemetabolism.rxns
R01015	fig|31899.10.peg.1899	00051_Fructoseandmannosemetabolism.rxns
R01070	fig|31899.10.peg.1061	00051_Fructoseandmannosemetabolism.rxns
R01818	fig|31899.10.peg.2262 or fig|31899.10.peg.632	00051_Fructoseandmannosemetabolism.rxns
R01819	fig|31899.10.peg.1059	00051_Fructoseandmannosemetabolism.rxns
R02071	fig|31899.10.peg.542	00051_Fructoseandmannosemetabolism.rxns
R02073	fig|31899.10.peg.2336	00051_Fructoseandmannosemetabolism.rxns
R02262	fig|31899.10.peg.1149	00051_Fructoseandmannosemetabolism.rxns
R02263	fig|31899.10.peg.1150	00051_Fructoseandmannosemetabolism.rxns
R02437	fig|31899.10.peg.1160	00051_Fructoseandmannosemetabolism.rxns
R02568	fig|31899.10.peg.1061	00051_Fructoseandmannosemetabolism.rxns
R03014	fig|31899.10.peg.1301	00051_Fructoseandmannosemetabolism.rxns
R03163	fig|31899.10.peg.2619	00051_Fructoseandmannosemetabolism.rxns
R03232	fig|31899.10.peg.543 or fig|31899.10.peg.544	00051_Fructoseandmannosemetabolism.rxns
R03241	fig|31899.10.peg.1301	00051_Fructoseandmannosemetabolism.rxns
R04779	fig|31899.10.peg.1752	00051_Fructoseandmannosemetabolism.rxns
R05607	fig|31899.10.peg.1152	00051_Fructoseandmannosemetabolism.rxns
R09030	fig|31899.10.peg.1073	00051_Fructoseandmannosemetabolism.rxns
