TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0033	fig|1121259.3.peg.1203	fig|1214564.3.peg.2184	fig|1387555.3.peg.149	fig|1387557.3.peg.2716	fig|1387569.3.peg.498	fig|31899.10.peg.2851|SAMN05216182_2603	fig|351627.8.peg.262|Csac_0223	fig|608506.3.peg.2188|COB47_2047	fig|632292.3.peg.519|Calhy_0474	fig|632335.8.peg.2488|Calkr_2298	fig|632348.3.peg.377|Calkro_0348	fig|632516.3.peg.2079|CallaDRAFT_2008	fig|632518.3.peg.2115|Calow_1982
TAG0034	fig|1121259.3.peg.1212	fig|1214564.3.peg.2173	fig|1387555.3.peg.144	fig|1387557.3.peg.2707	fig|1387569.3.peg.510	fig|31899.10.peg.2842|SAMN05216182_2595	fig|351627.8.peg.271|Csac_0232	fig|608506.3.peg.2179|COB47_2039	fig|632292.3.peg.529|Calhy_0483	fig|632335.8.peg.2479|Calkr_2290	fig|632348.3.peg.385|Calkro_0356	fig|632516.3.peg.2087|CallaDRAFT_2016	fig|632518.3.peg.2103|Calow_1972
TAG0035	fig|1121259.3.peg.1220	-	-	-	-	-	-	-	-	-	-	-	-
TAG0036	fig|1121259.3.peg.1238	fig|1214564.3.peg.368	-	fig|1387557.3.peg.2643	-	fig|31899.10.peg.2806|SAMN05216182_2561	fig|351627.8.peg.823|Csac_0717	-	fig|632292.3.peg.580|Calhy_0533	-	fig|632348.3.peg.432|Calkro_0404	-	fig|632518.3.peg.2046|Calow_1923
TAG0037	fig|1121259.3.peg.1247	-	-	-	-	fig|31899.10.peg.2798|SAMN05216182_2553	-	fig|608506.3.peg.2150|COB47_2011	-	-	fig|632348.3.peg.440|Calkro_0412	-	fig|632518.3.peg.2039|Calow_1916
TAG0038	fig|1121259.3.peg.1276	fig|1214564.3.peg.1405	fig|1387555.3.peg.829	fig|1387557.3.peg.2615	-	fig|31899.10.peg.2758	fig|351627.8.peg.1372	fig|608506.3.peg.2117	fig|632292.3.peg.611	fig|632335.8.peg.429	-	fig|632516.3.peg.2189	fig|632518.3.peg.2009
TAG0039	fig|1121259.3.peg.1282	-	-	-	-	-	-	-	-	-	-	-	-
TAG0040	fig|1121259.3.peg.1288	-	-	-	-	-	-	-	-	-	-	-	-
TAG0041	fig|1121259.3.peg.1312	-	-	-	-	-	-	-	-	-	-	-	-
TAG0042	fig|1121259.3.peg.1315	-	-	-	-	-	-	-	-	-	-	-	-
TAG0043	fig|1121259.3.peg.1317	-	-	-	-	-	-	-	-	-	-	-	-
TAG0044	fig|1121259.3.peg.1321	-	-	-	-	-	-	-	-	-	-	-	-
TAG0045	fig|1121259.3.peg.1336	-	-	-	-	-	-	-	-	-	-	-	-
TAG0046	fig|1121259.3.peg.1351	-	-	-	-	-	-	-	-	-	-	-	-
TAG0047	fig|1121259.3.peg.1357	-	-	-	-	-	-	-	fig|632292.3.peg.218	-	-	-	-
TAG0048	fig|1121259.3.peg.1359	-	-	-	-	-	-	-	-	fig|632335.8.peg.2557	-	-	-
TAG0049	fig|1121259.3.peg.1374	-	-	-	-	-	-	-	-	-	fig|632348.3.peg.216	-	-
TAG0050	fig|1121259.3.peg.1380	-	-	-	-	-	-	-	-	-	-	fig|632516.3.peg.932|CallaDRAFT_0885	-
