CHB_15422 + CHB_37721 = CHB_16761 + CHB_61553	R00760	-17759.769272664795
CHB_18361 + CHB_61553 = CHB_26078 + CHB_40595	R00764	876.7152175643714
CHB_18050 + CHB_61553 = CHB_29985 + CHB_58725	R00768	-15937.12082891335
CHB_4170 = CHB_61553	R00771	2687.001137363317
CHB_43896 = CHB_61553	R00772	-116.69569450442214
CHB_17992 + CHB_15377 = CHB_37721 + CHB_4167	R00801	-26441.796409625822
CHB_15978 + CHB_15846 = CHB_16108 + CHB_16908	R00842	29916.54722024576
CHB_15422 + CHB_17754 = CHB_16761 + CHB_15978	R00847	-20804.014861568983
CHB_17677 + CHB_15978 = CHB_18361 + C00513	R00856	-30059.075157532003
CHB_16899 + CHB_15846 = CHB_37721 + CHB_16908	R00868	9712.713466739748
CHB_17552 + CHB_35374 = CHB_26078 + CHB_15820	R00883	4488.532567838905
CHB_15996 + CHB_35374 = CHB_18361 + CHB_15820	R00885	-11400.01496406598
CHB_17561 + CHB_16810 = C00957 + CHB_29985	R00895	-22763.063772413152
CHB_17561 + CHB_16810 = C00957 + C00302	R00896	-14505.084179789177
CHB_17981 + CHB_16136 = CHB_17561 + CHB_30089	R00897	-55799.89061605028
C00100 + CHB_26078 = C02876 + CHB_15346	R00921	30358.402215433773
CHB_15633 + CHB_16908 = CHB_15635 + CHB_15846	R00936	-26845.37122290407
CHB_15633 + CHB_16474 = CHB_15635 + CHB_18009	R00939	-31176.442545113154
CHB_15422 + CHB_15635 + CHB_29985 = CHB_16761 + CHB_26078 + C09332	R00942	-18972.075317065755
CHB_15635 + CHB_15740 + CHB_15422 = CHB_16761 + CHB_26078 + CHB_15637	R00943	-7834.393258909753
CHB_1989 + CHB_15428 + CHB_15377 = CHB_15635 + CHB_17115	R00945	5051.54812784167
CHB_15641 + CHB_17588 = CHB_15635 + CHB_16643	R00946	-181897.85369015014
CHB_15422 + C00103 = CHB_18361 + CHB_15751	R00948	-25435.25708981295
CHB_17057 + CHB_26078 = C00103 + CHB_4167	R00952	16174.078758295858
CHB_15422 + CHB_16704 = CHB_16761 + CHB_16695	R00964	-13907.309512704669
C01103 = CHB_16695 + CHB_16526	R00965	-589.285837561998
CHB_17568 + C00119 = CHB_16695 + CHB_18361	R00966	-23959.248674429313
CHB_15996 + CHB_16704 = CHB_17552 + CHB_16695	R00968	-14644.032072321337
CHB_29748 + CHB_16134 = C00108 + CHB_15361 + CHB_15377	R00985	-93726.48993723844
CHB_29748 + CHB_18050 = C00108 + CHB_15361 + CHB_29985	R00986	-106609.24277095165
C06032 + CHB_15846 = CHB_16763 + CHB_16526 + CHB_16908	R00994	-87.94827429548604
C01118 + CHB_15377 = CHB_16763 + CHB_30031 + CHB_16134	R00999	-37670.597656267375
CHB_16108 + CHB_15377 = C00184 + CHB_26078	R01010	-12872.714906819165
CHB_16108 = CHB_29052	R01015	6517.727817585226
C00670 + CHB_15377 = C00114 + CHB_15978	R01030	-37038.2849259745
CHB_15422 + CHB_52742 = CHB_16027 + C00119	R01049	-689.235175061156
CHB_16960 + CHB_15377 = CHB_16027 + CHB_52742	R01054	-757.8904514926835
CHB_52742 = CHB_17363	R01056	975.8460414316505
CHB_35425 = CHB_52742	R01057	-8783.353760152007
CHB_29052 + CHB_26078 + CHB_15846 = CHB_16001 + CHB_16908	R01061	14174.905550089665
MAN_10201 = CHB_29052 + CHB_15343	R01066	21530.289411289355
CHB_61553 + CHB_29052 = C00279 + CHB_16332	R01067	10426.909571710217
